,min,max
1,4569,18276
2,4569,18276
3,4569,18276
4,4569,18276
5,4569,18276
6,4569,18276
7,4569,18276
8,4569,18276
9,4569,18276
10,4569,18276
11,4569,18276
12,4569,18276
13,4569,18276
14,4569,18276
15,4569,18276
16,4569,18276
17,4569,18276
18,4569,18276
19,4569,18276
20,4569,18276
21,4569,18276
22,4569,18276
23,4569,18276
24,4569,18276
25,4569,18276
26,4569,18276
27,4569,18276
28,4569,18276
29,4569,18276
30,4569,18276
31,4569,18276
32,4569,18276
33,4569,18276
34,4569,18276
35,4569,18276
36,4569,18276
37,4569,18276
38,4569,18276
39,4569,18276
40,4569,18276
41,4569,18276
42,4569,18276
43,4569,18276
44,4569,18276
45,4569,18276
46,4569,18276
47,4569,18276
48,4569,18276
49,4569,18276
50,4569,18276
51,4569,18276
52,4569,18276
53,4569,18276
54,4569,18276
55,4569,18276
56,4569,18276
57,4569,18276
58,4569,18276
59,4569,18276
60,4569,18276
61,4569,18276
62,4569,18276
63,4569,18276
64,4569,18276
65,4569,18276
66,4569,18276
67,4569,18276
68,4569,18276
69,4569,18276
70,4569,18276
71,4569,18276
72,4569,18276
73,4569,18276
74,4569,18276
75,4569,18276
76,4569,18276
77,4569,18276
78,4569,18276
79,4569,18276
80,4569,18276
81,4569,18276
82,4569,18276
83,4569,18276
84,4569,18276
85,4569,18276
86,4569,18276
87,4569,18276
88,4569,18276
89,4569,18276
90,4569,18276
91,4569,18276
92,4569,18276
93,4569,18276
94,4569,18276
95,4569,18276
96,4569,18276
97,4569,18276
98,4569,18276
99,4569,18276
100,4569,18276
101,4569,18276
102,4569,18276
103,4569,18276
104,4569,18276
105,4569,18276
106,4569,18276
107,4569,18276
108,4569,18276
109,4569,18276
110,4569,18276
111,4569,18276
112,4569,18276
113,4569,18276
114,4569,18276
115,4569,18276
116,4569,18276
117,4569,18276
118,4569,18276
119,4569,18276
120,4569,18276
