,min,max
1,5000,25000
2,5000,25000
3,5000,25000
4,5000,25000
5,5000,25000
6,5000,25000
7,5000,25000
8,5000,25000
9,5000,25000
10,5000,25000
11,5000,25000
12,5000,25000
13,5000,25000
14,5000,25000
15,5000,25000
16,5000,25000
17,5000,25000
18,5000,25000
19,5000,25000
20,5000,25000
21,5000,25000
22,5000,25000
23,5000,25000
24,5000,25000
25,5000,25000
26,5000,25000
27,5000,25000
28,5000,25000
29,5000,25000
30,5000,25000
31,5000,25000
32,5000,25000
33,5000,25000
34,5000,25000
35,5000,25000
36,5000,25000
37,5000,25000
38,5000,25000
39,5000,25000
40,5000,25000
41,5000,25000
42,5000,25000
43,5000,25000
44,5000,25000
45,5000,25000
46,5000,25000
47,5000,25000
48,5000,25000
49,5000,25000
50,5000,25000
51,5000,25000
52,5000,25000
53,5000,25000
54,5000,25000
55,5000,25000
56,5000,25000
57,5000,25000
58,5000,25000
59,5000,25000
60,5000,25000
61,5000,25000
62,5000,25000
63,5000,25000
64,5000,25000
65,5000,25000
66,5000,25000
67,5000,25000
68,5000,25000
69,5000,25000
70,5000,25000
71,5000,25000
72,5000,25000
73,5000,25000
74,5000,25000
75,5000,25000
76,5000,25000
77,5000,25000
78,5000,25000
79,5000,25000
80,5000,25000
81,5000,25000
82,5000,25000
83,5000,25000
84,5000,25000
85,5000,25000
86,5000,25000
87,5000,25000
88,5000,25000
89,5000,25000
90,5000,25000
91,5000,25000
92,5000,25000
93,5000,25000
94,5000,25000
95,5000,25000
96,5000,25000
97,5000,25000
98,5000,25000
99,5000,25000
100,5000,25000
101,5000,25000
102,5000,25000
103,5000,25000
104,5000,25000
105,5000,25000
106,5000,25000
107,5000,25000
108,5000,25000
109,5000,25000
110,5000,25000
111,5000,25000
112,5000,25000
113,5000,25000
114,5000,25000
115,5000,25000
116,5000,25000
117,5000,25000
118,5000,25000
119,5000,25000
120,5000,25000
