,min,max
1,20000,80000
2,20000,80000
3,20000,80000
4,20000,80000
5,20000,80000
6,20000,80000
7,20000,80000
8,20000,80000
9,20000,80000
10,20000,80000
11,20000,80000
12,20000,80000
13,20000,80000
14,20000,80000
15,20000,80000
16,20000,80000
17,20000,80000
18,20000,80000
19,20000,80000
20,20000,80000
21,20000,80000
22,20000,80000
23,20000,80000
24,20000,80000
25,20000,80000
26,20000,80000
27,20000,80000
28,20000,80000
29,20000,80000
30,20000,80000
31,20000,80000
32,20000,80000
33,20000,80000
34,20000,80000
35,20000,80000
36,20000,80000
37,20000,80000
38,20000,80000
39,20000,80000
40,20000,80000
41,20000,80000
42,20000,80000
43,20000,80000
44,20000,80000
45,20000,80000
46,20000,80000
47,20000,80000
48,20000,80000
49,20000,80000
50,20000,80000
51,20000,80000
52,20000,80000
53,20000,80000
54,20000,80000
55,20000,80000
56,20000,80000
57,20000,80000
58,20000,80000
59,20000,80000
60,20000,80000
61,20000,80000
62,20000,80000
63,20000,80000
64,20000,80000
65,20000,80000
66,20000,80000
67,20000,80000
68,20000,80000
69,20000,80000
70,20000,80000
71,20000,80000
72,20000,80000
73,20000,80000
74,20000,80000
75,20000,80000
76,20000,80000
77,20000,80000
78,20000,80000
79,20000,80000
80,20000,80000
81,20000,80000
82,20000,80000
83,20000,80000
84,20000,80000
85,20000,80000
86,20000,80000
87,20000,80000
88,20000,80000
89,20000,80000
90,20000,80000
91,20000,80000
92,20000,80000
93,20000,80000
94,20000,80000
95,20000,80000
96,20000,80000
97,20000,80000
98,20000,80000
99,20000,80000
100,20000,80000
101,20000,80000
102,20000,80000
103,20000,80000
104,20000,80000
105,20000,80000
106,20000,80000
107,20000,80000
108,20000,80000
109,20000,80000
110,20000,80000
111,20000,80000
112,20000,80000
113,20000,80000
114,20000,80000
115,20000,80000
116,20000,80000
117,20000,80000
118,20000,80000
119,20000,80000
120,20000,80000
