,min,max
1,2000,15000
2,2000,15000
3,2000,15000
4,2000,15000
5,2000,15000
6,2000,15000
7,2000,15000
8,2000,15000
9,2000,15000
10,2000,15000
11,2000,15000
12,2000,15000
13,2000,15000
14,2000,15000
15,2000,15000
16,2000,15000
17,2000,15000
18,2000,15000
19,2000,15000
20,2000,15000
21,2000,15000
22,2000,15000
23,2000,15000
24,2000,15000
25,2000,15000
26,2000,15000
27,2000,15000
28,2000,15000
29,2000,15000
30,2000,15000
31,2000,15000
32,2000,15000
33,2000,15000
34,2000,15000
35,2000,15000
36,2000,15000
37,2000,15000
38,2000,15000
39,2000,15000
40,2000,15000
41,2000,15000
42,2000,15000
43,2000,15000
44,2000,15000
45,2000,15000
46,2000,15000
47,2000,15000
48,2000,15000
49,2000,15000
50,2000,15000
51,2000,15000
52,2000,15000
53,2000,15000
54,2000,15000
55,2000,15000
56,2000,15000
57,2000,15000
58,2000,15000
59,2000,15000
60,2000,15000
61,2000,15000
62,2000,15000
63,2000,15000
64,2000,15000
65,2000,15000
66,2000,15000
67,2000,15000
68,2000,15000
69,2000,15000
70,2000,15000
71,2000,15000
72,2000,15000
73,2000,15000
74,2000,15000
75,2000,15000
76,2000,15000
77,2000,15000
78,2000,15000
79,2000,15000
80,2000,15000
81,2000,15000
82,2000,15000
83,2000,15000
84,2000,15000
85,2000,15000
86,2000,15000
87,2000,15000
88,2000,15000
89,2000,15000
90,2000,15000
91,2000,15000
92,2000,15000
93,2000,15000
94,2000,15000
95,2000,15000
96,2000,15000
97,2000,15000
98,2000,15000
99,2000,15000
100,2000,15000
101,2000,15000
102,2000,15000
103,2000,15000
104,2000,15000
105,2000,15000
106,2000,15000
107,2000,15000
108,2000,15000
109,2000,15000
110,2000,15000
111,2000,15000
112,2000,15000
113,2000,15000
114,2000,15000
115,2000,15000
116,2000,15000
117,2000,15000
118,2000,15000
119,2000,15000
120,2000,15000
