,min,max
1,5000,30000
2,5000,30000
3,5000,30000
4,5000,30000
5,5000,30000
6,5000,30000
7,5000,30000
8,5000,30000
9,5000,30000
10,5000,30000
11,5000,30000
12,5000,30000
13,5000,30000
14,5000,30000
15,5000,30000
16,5000,30000
17,5000,30000
18,5000,30000
19,5000,30000
20,5000,30000
21,5000,30000
22,5000,30000
23,5000,30000
24,5000,30000
25,5000,30000
26,5000,30000
27,5000,30000
28,5000,30000
29,5000,30000
30,5000,30000
31,5000,30000
32,5000,30000
33,5000,30000
34,5000,30000
35,5000,30000
36,5000,30000
37,5000,30000
38,5000,30000
39,5000,30000
40,5000,30000
41,5000,30000
42,5000,30000
43,5000,30000
44,5000,30000
45,5000,30000
46,5000,30000
47,5000,30000
48,5000,30000
49,5000,30000
50,5000,30000
51,5000,30000
52,5000,30000
53,5000,30000
54,5000,30000
55,5000,30000
56,5000,30000
57,5000,30000
58,5000,30000
59,5000,30000
60,5000,30000
61,5000,30000
62,5000,30000
63,5000,30000
64,5000,30000
65,5000,30000
66,5000,30000
67,5000,30000
68,5000,30000
69,5000,30000
70,5000,30000
71,5000,30000
72,5000,30000
73,5000,30000
74,5000,30000
75,5000,30000
76,5000,30000
77,5000,30000
78,5000,30000
79,5000,30000
80,5000,30000
81,5000,30000
82,5000,30000
83,5000,30000
84,5000,30000
85,5000,30000
86,5000,30000
87,5000,30000
88,5000,30000
89,5000,30000
90,5000,30000
91,5000,30000
92,5000,30000
93,5000,30000
94,5000,30000
95,5000,30000
96,5000,30000
97,5000,30000
98,5000,30000
99,5000,30000
100,5000,30000
101,5000,30000
102,5000,30000
103,5000,30000
104,5000,30000
105,5000,30000
106,5000,30000
107,5000,30000
108,5000,30000
109,5000,30000
110,5000,30000
111,5000,30000
112,5000,30000
113,5000,30000
114,5000,30000
115,5000,30000
116,5000,30000
117,5000,30000
118,5000,30000
119,5000,30000
120,5000,30000
