;EuropeanSprat.growthpot.csv
1;1.05492905830994
2;1.05492905830994
3;1.05492905830994
4;1.05492905830994
5;1.05492905830994
6;1.05492905830994
7;1.05492905830994
8;1.05492905830994
9;1.05492905830994
10;1.05492905830994
11;1.05492905830994
12;1.05492905830994
