;GreyGurnard.c.csv
1;1.87654412238284
2;1.87654412238284
3;1.87654412238284
4;1.87654412238284
5;1.87654412238284
6;1.87654412238284
7;1.87654412238284
8;1.87654412238284
9;1.87654412238284
10;1.87654412238284
11;1.87654412238284
12;1.87654412238284
