;NorwayPout.growthpot.csv
1;4.87460992211772
2;4.87460992211772
3;4.87460992211772
4;4.87460992211772
5;4.87460992211772
6;4.87460992211772
7;4.87460992211772
8;4.87460992211772
9;4.87460992211772
10;4.87460992211772
11;4.87460992211772
12;4.87460992211772
