;CommonSole.c.csv
1;2.43246083404361
2;2.43246083404361
3;2.43246083404361
4;2.43246083404361
5;2.43246083404361
6;2.43246083404361
7;2.43246083404361
8;2.43246083404361
9;2.43246083404361
10;2.43246083404361
11;2.43246083404361
12;2.43246083404361
