;Hake.c.csv
1;3.61458245180306
2;3.61458245180306
3;3.61458245180306
4;3.61458245180306
5;3.61458245180306
6;3.61458245180306
7;3.61458245180306
8;3.61458245180306
9;3.61458245180306
10;3.61458245180306
11;3.61458245180306
12;3.61458245180306
