;Whiting.growthpot.csv
1;3.14851189478953
2;3.14851189478953
3;3.14851189478953
4;3.14851189478953
5;3.14851189478953
6;3.14851189478953
7;3.14851189478953
8;3.14851189478953
9;3.14851189478953
10;3.14851189478953
11;3.14851189478953
12;3.14851189478953
