;AtlanticHerring.growthpot.csv
1;2.22795625213367
2;2.22795625213367
3;2.22795625213367
4;2.22795625213367
5;2.22795625213367
6;2.22795625213367
7;2.22795625213367
8;2.22795625213367
9;2.22795625213367
10;2.22795625213367
11;2.22795625213367
12;2.22795625213367
