;AtlanticCod.growthpot.csv
1;6.56859685149998
2;6.56859685149998
3;6.56859685149998
4;6.56859685149998
5;6.56859685149998
6;6.56859685149998
7;6.56859685149998
8;6.56859685149998
9;6.56859685149998
10;6.56859685149998
11;6.56859685149998
12;6.56859685149998
