,CommonSole.growthpot.csv
51,2.43246083404361
52,2.43246083404361
53,2.43246083404361
54,2.43246083404361
55,2.43246083404361
56,2.43246083404361
57,2.43246083404361
58,2.43246083404361
59,2.43246083404361
60,2.43246083404361
