;HorseMackerel.c.csv
1;1.37493558487833
2;1.37493558487833
3;1.37493558487833
4;1.37493558487833
5;1.37493558487833
6;1.37493558487833
7;1.37493558487833
8;1.37493558487833
9;1.37493558487833
10;1.37493558487833
11;1.37493558487833
12;1.37493558487833
