,min,max
1,3748,14994
2,3748,14994
3,3748,14994
4,3748,14994
5,3748,14994
6,3748,14994
7,3748,14994
8,3748,14994
9,3748,14994
10,3748,14994
11,3748,14994
12,3748,14994
13,3748,14994
14,3748,14994
15,3748,14994
16,3748,14994
17,3748,14994
18,3748,14994
19,3748,14994
20,3748,14994
21,3748,14994
22,3748,14994
23,3748,14994
24,3748,14994
25,3748,14994
26,3748,14994
27,3748,14994
28,3748,14994
29,3748,14994
30,3748,14994
31,3748,14994
32,3748,14994
33,3748,14994
34,3748,14994
35,3748,14994
36,3748,14994
37,3748,14994
38,3748,14994
39,3748,14994
40,3748,14994
41,3748,14994
42,3748,14994
43,3748,14994
44,3748,14994
45,3748,14994
46,3748,14994
47,3748,14994
48,3748,14994
49,3748,14994
50,3748,14994
51,3748,14994
52,3748,14994
53,3748,14994
54,3748,14994
55,3748,14994
56,3748,14994
57,3748,14994
58,3748,14994
59,3748,14994
60,3748,14994
61,3748,14994
62,3748,14994
63,3748,14994
64,3748,14994
65,3748,14994
66,3748,14994
67,3748,14994
68,3748,14994
69,3748,14994
70,3748,14994
71,3748,14994
72,3748,14994
73,3748,14994
74,3748,14994
75,3748,14994
76,3748,14994
77,3748,14994
78,3748,14994
79,3748,14994
80,3748,14994
81,3748,14994
82,3748,14994
83,3748,14994
84,3748,14994
85,3748,14994
86,3748,14994
87,3748,14994
88,3748,14994
89,3748,14994
90,3748,14994
91,3748,14994
92,3748,14994
93,3748,14994
94,3748,14994
95,3748,14994
96,3748,14994
97,3748,14994
98,3748,14994
99,3748,14994
100,3748,14994
101,3748,14994
102,3748,14994
103,3748,14994
104,3748,14994
105,3748,14994
106,3748,14994
107,3748,14994
108,3748,14994
109,3748,14994
110,3748,14994
111,3748,14994
112,3748,14994
113,3748,14994
114,3748,14994
115,3748,14994
116,3748,14994
117,3748,14994
118,3748,14994
119,3748,14994
120,3748,14994
