,min,max
1,3000,12000
2,3000,12000
3,3000,12000
4,3000,12000
5,3000,12000
6,3000,12000
7,3000,12000
8,3000,12000
9,3000,12000
10,3000,12000
11,3000,12000
12,3000,12000
13,3000,12000
14,3000,12000
15,3000,12000
16,3000,12000
17,3000,12000
18,3000,12000
19,3000,12000
20,3000,12000
21,3000,12000
22,3000,12000
23,3000,12000
24,3000,12000
25,3000,12000
26,3000,12000
27,3000,12000
28,3000,12000
29,3000,12000
30,3000,12000
31,3000,12000
32,3000,12000
33,3000,12000
34,3000,12000
35,3000,12000
36,3000,12000
37,3000,12000
38,3000,12000
39,3000,12000
40,3000,12000
41,3000,12000
42,3000,12000
43,3000,12000
44,3000,12000
45,3000,12000
46,3000,12000
47,3000,12000
48,3000,12000
49,3000,12000
50,3000,12000
51,3000,12000
52,3000,12000
53,3000,12000
54,3000,12000
55,3000,12000
56,3000,12000
57,3000,12000
58,3000,12000
59,3000,12000
60,3000,12000
61,3000,12000
62,3000,12000
63,3000,12000
64,3000,12000
65,3000,12000
66,3000,12000
67,3000,12000
68,3000,12000
69,3000,12000
70,3000,12000
71,3000,12000
72,3000,12000
73,3000,12000
74,3000,12000
75,3000,12000
76,3000,12000
77,3000,12000
78,3000,12000
79,3000,12000
80,3000,12000
81,3000,12000
82,3000,12000
83,3000,12000
84,3000,12000
85,3000,12000
86,3000,12000
87,3000,12000
88,3000,12000
89,3000,12000
90,3000,12000
91,3000,12000
92,3000,12000
93,3000,12000
94,3000,12000
95,3000,12000
96,3000,12000
97,3000,12000
98,3000,12000
99,3000,12000
100,3000,12000
101,3000,12000
102,3000,12000
103,3000,12000
104,3000,12000
105,3000,12000
106,3000,12000
107,3000,12000
108,3000,12000
109,3000,12000
110,3000,12000
111,3000,12000
112,3000,12000
113,3000,12000
114,3000,12000
115,3000,12000
116,3000,12000
117,3000,12000
118,3000,12000
119,3000,12000
120,3000,12000
