,min,max
1,4000,25000
2,4000,25000
3,4000,25000
4,4000,25000
5,4000,25000
6,4000,25000
7,4000,25000
8,4000,25000
9,4000,25000
10,4000,25000
11,4000,25000
12,4000,25000
13,4000,25000
14,4000,25000
15,4000,25000
16,4000,25000
17,4000,25000
18,4000,25000
19,4000,25000
20,4000,25000
21,4000,25000
22,4000,25000
23,4000,25000
24,4000,25000
25,4000,25000
26,4000,25000
27,4000,25000
28,4000,25000
29,4000,25000
30,4000,25000
31,4000,25000
32,4000,25000
33,4000,25000
34,4000,25000
35,4000,25000
36,4000,25000
37,4000,25000
38,4000,25000
39,4000,25000
40,4000,25000
41,4000,25000
42,4000,25000
43,4000,25000
44,4000,25000
45,4000,25000
46,4000,25000
47,4000,25000
48,4000,25000
49,4000,25000
50,4000,25000
51,4000,25000
52,4000,25000
53,4000,25000
54,4000,25000
55,4000,25000
56,4000,25000
57,4000,25000
58,4000,25000
59,4000,25000
60,4000,25000
61,4000,25000
62,4000,25000
63,4000,25000
64,4000,25000
65,4000,25000
66,4000,25000
67,4000,25000
68,4000,25000
69,4000,25000
70,4000,25000
71,4000,25000
72,4000,25000
73,4000,25000
74,4000,25000
75,4000,25000
76,4000,25000
77,4000,25000
78,4000,25000
79,4000,25000
80,4000,25000
81,4000,25000
82,4000,25000
83,4000,25000
84,4000,25000
85,4000,25000
86,4000,25000
87,4000,25000
88,4000,25000
89,4000,25000
90,4000,25000
91,4000,25000
92,4000,25000
93,4000,25000
94,4000,25000
95,4000,25000
96,4000,25000
97,4000,25000
98,4000,25000
99,4000,25000
100,4000,25000
101,4000,25000
102,4000,25000
103,4000,25000
104,4000,25000
105,4000,25000
106,4000,25000
107,4000,25000
108,4000,25000
109,4000,25000
110,4000,25000
111,4000,25000
112,4000,25000
113,4000,25000
114,4000,25000
115,4000,25000
116,4000,25000
117,4000,25000
118,4000,25000
119,4000,25000
120,4000,25000
