,min,max
1,1800,8000
2,1800,8000
3,1800,8000
4,1800,8000
5,1800,8000
6,1800,8000
7,1800,8000
8,1800,8000
9,1800,8000
10,1800,8000
11,1800,8000
12,1800,8000
13,1800,8000
14,1800,8000
15,1800,8000
16,1800,8000
17,1800,8000
18,1800,8000
19,1800,8000
20,1800,8000
21,1800,8000
22,1800,8000
23,1800,8000
24,1800,8000
25,1800,8000
26,1800,8000
27,1800,8000
28,1800,8000
29,1800,8000
30,1800,8000
31,1800,8000
32,1800,8000
33,1800,8000
34,1800,8000
35,1800,8000
36,1800,8000
37,1800,8000
38,1800,8000
39,1800,8000
40,1800,8000
41,1800,8000
42,1800,8000
43,1800,8000
44,1800,8000
45,1800,8000
46,1800,8000
47,1800,8000
48,1800,8000
49,1800,8000
50,1800,8000
51,1800,8000
52,1800,8000
53,1800,8000
54,1800,8000
55,1800,8000
56,1800,8000
57,1800,8000
58,1800,8000
59,1800,8000
60,1800,8000
61,1800,8000
62,1800,8000
63,1800,8000
64,1800,8000
65,1800,8000
66,1800,8000
67,1800,8000
68,1800,8000
69,1800,8000
70,1800,8000
71,1800,8000
72,1800,8000
73,1800,8000
74,1800,8000
75,1800,8000
76,1800,8000
77,1800,8000
78,1800,8000
79,1800,8000
80,1800,8000
81,1800,8000
82,1800,8000
83,1800,8000
84,1800,8000
85,1800,8000
86,1800,8000
87,1800,8000
88,1800,8000
89,1800,8000
90,1800,8000
91,1800,8000
92,1800,8000
93,1800,8000
94,1800,8000
95,1800,8000
96,1800,8000
97,1800,8000
98,1800,8000
99,1800,8000
100,1800,8000
101,1800,8000
102,1800,8000
103,1800,8000
104,1800,8000
105,1800,8000
106,1800,8000
107,1800,8000
108,1800,8000
109,1800,8000
110,1800,8000
111,1800,8000
112,1800,8000
113,1800,8000
114,1800,8000
115,1800,8000
116,1800,8000
117,1800,8000
118,1800,8000
119,1800,8000
120,1800,8000
